date,id,name,y_items,y_actual_cost,x_items,x_actual_cost
2021-07-01,09W,"NHS MEDWAY",0,0,0,0
2021-07-01,D4U1Y,"NHS FRIMLEY",5,136.76,0,0
2021-07-01,99C,"NHS NORTH TYNESIDE",679,24560.78,0,0
2021-07-01,99G,"NHS SOUTHEND",1101,36705.49,0,0
2021-07-01,01V,"NHS SOUTHPORT AND FORMBY",1156,35229.81,0,0
2021-07-01,99F,"NHS CASTLE POINT AND ROCHFORD",1172,38674.89,0,0
2021-07-01,05V,"NHS STAFFORD AND SURROUNDS",1228,39631.24,0,0
2021-07-01,02Q,"NHS BASSETLAW",1330,38348.05,0,0
2021-07-01,00X,"NHS CHORLEY AND SOUTH RIBBLE",1333,42860.19,0,0
2021-07-01,01T,"NHS SOUTH SEFTON",1389,39470.55,0,0
2021-07-01,02G,"NHS WEST LANCASHIRE",1411,41822.18,0,0
2021-07-01,04Y,"NHS CANNOCK CHASE",1435,45540.65,0,0
2021-07-01,05D,"NHS EAST STAFFORDSHIRE",1454,45265.57,0,0
2021-07-01,03Q,"NHS VALE OF YORK",1544,50352.68,0,0
2021-07-01,01E,"NHS GREATER PRESTON",1560,49643.31,0,0
2021-07-01,09D,"NHS BRIGHTON AND HOVE",1566,59295.14,0,0
2021-07-01,02T,"NHS CALDERDALE",1581,54592.59,0,0
2021-07-01,00N,"NHS SOUTH TYNESIDE",1632,59569.32,0,0
2021-07-01,06N,"NHS HERTS VALLEYS",1646,60197.94,0,0
2021-07-01,02A,"NHS TRAFFORD",1726,55168.57,0,0
2021-07-01,00T,"NHS BOLTON",1762,53364.51,0,0
2021-07-01,01Y,"NHS TAMESIDE AND GLOSSOP",1782,58286.15,0,0
2021-07-01,00L,"NHS NORTHUMBERLAND",1784,55768.61,0,0
2021-07-01,97R,"NHS EAST SUSSEX",1810,60143.44,0,0
2021-07-01,01F,"NHS HALTON",1890,58041.45,0,0
2021-07-01,02M,"NHS FYLDE AND WYRE",1979,57847.95,0,0
2021-07-01,10R,"NHS PORTSMOUTH",1986,83907.4,0,0
2021-07-01,00R,"NHS BLACKPOOL",1993,57495.91,0,0
2021-07-01,00Q,"NHS BLACKBURN WITH DARWEN",2199,65044.6,0,0
2021-07-01,07G,"NHS THURROCK",2219,65919.2,0,0
2021-07-01,01G,"NHS SALFORD",2221,65755.75,0,0
2021-07-01,05Q,"NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA",2236,74641.52,0,0
2021-07-01,05G,"NHS NORTH STAFFORDSHIRE",2252,68542.7,0,0
2021-07-01,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE",2258,68052.86,0,0
2021-07-01,13T,"NHS NEWCASTLE GATESHEAD",2273,79481.67,0,0
2021-07-01,00P,"NHS SUNDERLAND",2296,77650.1,0,0
2021-07-01,03K,"NHS NORTH LINCOLNSHIRE",2393,67093.25,0,0
2021-07-01,03H,"NHS NORTH EAST LINCOLNSHIRE",2442,71827.27,0,0
2021-07-01,00V,"NHS BURY",2455,72457.22,0,0
2021-07-01,00Y,"NHS OLDHAM",2496,80113.32,0,0
2021-07-01,02E,"NHS WARRINGTON",2524,79894.71,0,0
2021-07-01,01W,"NHS STOCKPORT",2577,81016.53,0,0
2021-07-01,06K,"NHS EAST AND NORTH HERTFORDSHIRE",2581,76094.28,0,0
2021-07-01,X2C4Y,"NHS KIRKLEES",2591,94468.48,0,0
2021-07-01,01H,"NHS NORTH CUMBRIA",2684,88915.3,0,0
2021-07-01,07H,"NHS WEST ESSEX",2686,79454.69,0,0
2021-07-01,01J,"NHS KNOWSLEY",2750,79316.22,0,0
2021-07-01,U2G6B,"NHS THAMES VALLEY ICB - U2G6B",2750,95755.55,0,0
2021-07-01,01X,"NHS ST HELENS",2783,84163.38,0,0
2021-07-01,06Q,"NHS MID ESSEX",2824,82873.18,0,0
2021-07-01,03L,"NHS ROTHERHAM",2837,83206.56,0,0
2021-07-01,99E,"NHS BASILDON AND BRENTWOOD",3042,97481.54,0,0
2021-07-01,14Y,"NHS BUCKINGHAMSHIRE",3067,100812.28,0,0
2021-07-01,05W,"NHS STOKE ON TRENT",3445,102982.28,0,0
2021-07-01,06T,"NHS NORTH EAST ESSEX",3468,97238.06,0,0
2021-07-01,M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN",3491,123316.12,0,0
2021-07-01,03F,"NHS HULL",3530,103639.52,0,0
2021-07-01,03W,"NHS EAST LEICESTERSHIRE AND RUTLAND",3540,107189.44,0,0
2021-07-01,02P,"NHS BARNSLEY",3545,105935.65,0,0
2021-07-01,12F,"NHS WIRRAL",3640,113237.59,0,0
2021-07-01,02Y,"NHS EAST RIDING OF YORKSHIRE",3787,117387.23,0,0
2021-07-01,03N,"NHS SHEFFIELD",3861,125707.73,0,0
2021-07-01,02H,"NHS WIGAN BOROUGH",3910,122865.08,0,0
2021-07-01,07K,"NHS WEST SUFFOLK",4022,113369.14,0,0
2021-07-01,02X,"NHS DONCASTER",4091,121909.84,0,0
2021-07-01,04C,"NHS LEICESTER CITY",4149,121008.89,0,0
2021-07-01,36J,"NHS BRADFORD DISTRICT AND CRAVEN",4258,134543.13,0,0
2021-07-01,11X,"NHS SOMERSET",4337,146075.39,0,0
2021-07-01,06L,"NHS IPSWICH AND EAST SUFFOLK",4348,133712.27,0,0
2021-07-01,01K,"NHS MORECAMBE BAY",4439,138699.07,0,0
2021-07-01,36L,"NHS SOUTH WEST LONDON",4447,159454.27,0,0
2021-07-01,15A,"NHS BERKSHIRE WEST",4635,147776.05,0,0
2021-07-01,15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE",4739,193906.78,0,0
2021-07-01,42D,"NHS NORTH YORKSHIRE",4799,143559.73,0,0
2021-07-01,93C,"NHS NORTH CENTRAL LONDON",4902,176657.44,0,0
2021-07-01,11M,"NHS GLOUCESTERSHIRE",4906,160790.54,0,0
2021-07-01,04V,"NHS WEST LEICESTERSHIRE",4937,152047.12,0,0
2021-07-01,03R,"NHS WAKEFIELD",5071,161210.29,0,0
2021-07-01,14L,"NHS MANCHESTER",5099,154349.55,0,0
2021-07-01,70F,"NHS WEST SUSSEX",5335,194211.22,0,0
2021-07-01,15F,"NHS LEEDS",5568,186288.59,0,0
2021-07-01,92A,"NHS SURREY HEARTLANDS",5570,209909.98,0,0
2021-07-01,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE",5664,188468.87,0,0
2021-07-01,99A,"NHS LIVERPOOL",5758,171445.91,0,0
2021-07-01,10Q,"NHS OXFORDSHIRE",5801,200718.76,0,0
2021-07-01,84H,"NHS COUNTY DURHAM",5904,178744.7,0,0
2021-07-01,27D,"NHS CHESHIRE",6048,190147,0,0
2021-07-01,01A,"NHS EAST LANCASHIRE",6329,183015.97,0,0
2021-07-01,A3A8R,"NHS NORTH EAST LONDON",6478,230320.53,0,0
2021-07-01,72Q,"NHS SOUTH EAST LONDON",6720,257609.94,0,0
2021-07-01,16C,"NHS TEES VALLEY",6949,213264.71,0,0
2021-07-01,11J,"NHS DORSET",7770,267294.04,0,0
2021-07-01,18C,"NHS HEREFORDSHIRE AND WORCESTERSHIRE",7999,286013.05,0,0
2021-07-01,11N,"NHS CORNWALL AND THE ISLES OF SCILLY",8204,251179.86,0,0
2021-07-01,W2U3Z,"NHS NORTH WEST LONDON",8279,288196.8,0,0
2021-07-01,71E,"NHS LINCOLNSHIRE",8727,254378.64,0,0
2021-07-01,26A,"NHS NORFOLK AND WAVENEY",9280,291055.47,0,0
2021-07-01,B2M3M,"NHS COVENTRY AND WARWICKSHIRE",9474,279015.15,0,0
2021-07-01,M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES",9970,330180.99,0,0
2021-07-01,78H,"NHS NORTHAMPTONSHIRE",10702,298959.75,0,0
2021-07-01,06H,"NHS CAMBRIDGESHIRE AND PETERBOROUGH",11446,337047.33,0,0
2021-07-01,D2P2L,"NHS BLACK COUNTRY",11548,384232.17,0,0
2021-07-01,91Q,"NHS KENT AND MEDWAY",11934,398112.51,0,0
2021-07-01,15E,"NHS BIRMINGHAM AND SOLIHULL",12582,420554.17,0,0
2021-07-01,15N,"NHS DEVON",12764,418000.01,0,0
2021-07-01,15M,"NHS DERBY AND DERBYSHIRE",14342,522579.22,0,0
2021-07-01,52R,"NHS NOTTINGHAM AND NOTTINGHAMSHIRE",15843,497883.44,0,0
2021-07-01,D9Y0V,"NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT",16071,620834.98,0,0
2021-08-01,09W,"NHS MEDWAY",0,0,0,0
2021-08-01,D4U1Y,"NHS FRIMLEY",10,273.77,0,0
2021-08-01,99C,"NHS NORTH TYNESIDE",689,24826.74,0,0
2021-08-01,99G,"NHS SOUTHEND",1028,33669.13,0,0
2021-08-01,99F,"NHS CASTLE POINT AND ROCHFORD",1100,36762.02,0,0
2021-08-01,05V,"NHS STAFFORD AND SURROUNDS",1138,37062.21,0,0
2021-08-01,01V,"NHS SOUTHPORT AND FORMBY",1144,35175.5,0,0
2021-08-01,02Q,"NHS BASSETLAW",1219,34956.84,0,0
2021-08-01,01T,"NHS SOUTH SEFTON",1283,36654.84,0,0
2021-08-01,00X,"NHS CHORLEY AND SOUTH RIBBLE",1287,41060.31,0,0
2021-08-01,02G,"NHS WEST LANCASHIRE",1326,39419.04,0,0
2021-08-01,04Y,"NHS CANNOCK CHASE",1345,42675.35,0,0
2021-08-01,05D,"NHS EAST STAFFORDSHIRE",1377,42946.89,0,0
