date,id,name,y_items,y_actual_cost,x_items,x_actual_cost
2021-07-01,09W,"NHS MEDWAY",0,0,0,0
2021-07-01,D4U1Y,"NHS FRIMLEY",8,106.4,0,0
2021-07-01,01J,"NHS KNOWSLEY",12,172.89,0,0
2021-07-01,03H,"NHS NORTH EAST LINCOLNSHIRE",13,186.18,0,0
2021-07-01,01F,"NHS HALTON",15,403.44,0,0
2021-07-01,02G,"NHS WEST LANCASHIRE",17,466.7,0,0
2021-07-01,05D,"NHS EAST STAFFORDSHIRE",17,416.72,0,0
2021-07-01,07G,"NHS THURROCK",22,614.33,0,0
2021-07-01,10R,"NHS PORTSMOUTH",23,531.83,0,0
2021-07-01,05G,"NHS NORTH STAFFORDSHIRE",24,658.77,0,0
2021-07-01,99G,"NHS SOUTHEND",24,465.39,0,0
2021-07-01,01G,"NHS SALFORD",27,1017.69,0,0
2021-07-01,05V,"NHS STAFFORD AND SURROUNDS",27,624.09,0,0
2021-07-01,04Y,"NHS CANNOCK CHASE",29,790.15,0,0
2021-07-01,01V,"NHS SOUTHPORT AND FORMBY",30,1307.51,0,0
2021-07-01,02Q,"NHS BASSETLAW",31,781.74,0,0
2021-07-01,04C,"NHS LEICESTER CITY",32,633.89,0,0
2021-07-01,01X,"NHS ST HELENS",36,679.53,0,0
2021-07-01,99F,"NHS CASTLE POINT AND ROCHFORD",36,624.99,0,0
2021-07-01,07H,"NHS WEST ESSEX",37,1538.52,0,0
2021-07-01,01T,"NHS SOUTH SEFTON",39,585.15,0,0
2021-07-01,99E,"NHS BASILDON AND BRENTWOOD",39,1075.24,0,0
2021-07-01,05W,"NHS STOKE ON TRENT",40,1449.23,0,0
2021-07-01,U2G6B,"NHS THAMES VALLEY ICB - U2G6B",42,1383.47,0,0
2021-07-01,00V,"NHS BURY",44,857.27,0,0
2021-07-01,05Q,"NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA",44,774.22,0,0
2021-07-01,02P,"NHS BARNSLEY",45,771.27,0,0
2021-07-01,03W,"NHS EAST LEICESTERSHIRE AND RUTLAND",45,704.67,0,0
2021-07-01,09D,"NHS BRIGHTON AND HOVE",46,1308.69,0,0
2021-07-01,02T,"NHS CALDERDALE",47,930.77,0,0
2021-07-01,00N,"NHS SOUTH TYNESIDE",48,851.03,0,0
2021-07-01,03F,"NHS HULL",48,799.55,0,0
2021-07-01,00R,"NHS BLACKPOOL",50,704.87,0,0
2021-07-01,03K,"NHS NORTH LINCOLNSHIRE",50,718.02,0,0
2021-07-01,00Q,"NHS BLACKBURN WITH DARWEN",51,824.49,0,0
2021-07-01,04V,"NHS WEST LEICESTERSHIRE",52,935.36,0,0
2021-07-01,12F,"NHS WIRRAL",53,1004.62,0,0
2021-07-01,02E,"NHS WARRINGTON",55,877.66,0,0
2021-07-01,06L,"NHS IPSWICH AND EAST SUFFOLK",55,1714.63,0,0
2021-07-01,00Y,"NHS OLDHAM",56,1196.14,0,0
2021-07-01,06Q,"NHS MID ESSEX",56,1317.82,0,0
2021-07-01,01Y,"NHS TAMESIDE AND GLOSSOP",59,1099.31,0,0
2021-07-01,02M,"NHS FYLDE AND WYRE",62,904.31,0,0
2021-07-01,02X,"NHS DONCASTER",62,970.79,0,0
2021-07-01,07K,"NHS WEST SUFFOLK",64,1548.31,0,0
2021-07-01,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE",65,1285.76,0,0
2021-07-01,00T,"NHS BOLTON",66,1334.26,0,0
2021-07-01,11X,"NHS SOMERSET",66,1145.3,0,0
2021-07-01,00P,"NHS SUNDERLAND",67,1276.5,0,0
2021-07-01,03L,"NHS ROTHERHAM",69,1024.03,0,0
2021-07-01,01W,"NHS STOCKPORT",70,1474.31,0,0
2021-07-01,03R,"NHS WAKEFIELD",70,1384.23,0,0
2021-07-01,06T,"NHS NORTH EAST ESSEX",70,1500.08,0,0
2021-07-01,03Q,"NHS VALE OF YORK",74,1415.42,0,0
2021-07-01,15A,"NHS BERKSHIRE WEST",80,1365.28,0,0
2021-07-01,99A,"NHS LIVERPOOL",81,1562.91,0,0
2021-07-01,02Y,"NHS EAST RIDING OF YORKSHIRE",84,1598.29,0,0
2021-07-01,00X,"NHS CHORLEY AND SOUTH RIBBLE",89,1422.92,0,0
2021-07-01,02H,"NHS WIGAN BOROUGH",89,1864.47,0,0
2021-07-01,01H,"NHS NORTH CUMBRIA",90,1436.1,0,0
2021-07-01,01E,"NHS GREATER PRESTON",92,1595.72,0,0
2021-07-01,01K,"NHS MORECAMBE BAY",95,1592.18,0,0
2021-07-01,M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN",97,1799.59,0,0
2021-07-01,02A,"NHS TRAFFORD",99,2713.05,0,0
2021-07-01,06N,"NHS HERTS VALLEYS",110,2719.39,0,0
2021-07-01,X2C4Y,"NHS KIRKLEES",111,2061.05,0,0
2021-07-01,01A,"NHS EAST LANCASHIRE",113,1809.84,0,0
2021-07-01,78H,"NHS NORTHAMPTONSHIRE",121,1802.81,0,0
2021-07-01,15F,"NHS LEEDS",126,2417.46,0,0
2021-07-01,72Q,"NHS SOUTH EAST LONDON",130,2999.14,0,0
2021-07-01,15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE",133,2731.97,0,0
2021-07-01,10Q,"NHS OXFORDSHIRE",138,2635.33,0,0
2021-07-01,14Y,"NHS BUCKINGHAMSHIRE",142,2601.73,0,0
2021-07-01,B2M3M,"NHS COVENTRY AND WARWICKSHIRE",143,2834.76,0,0
2021-07-01,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE",144,3922.38,0,0
2021-07-01,11N,"NHS CORNWALL AND THE ISLES OF SCILLY",154,3497.37,0,0
2021-07-01,06K,"NHS EAST AND NORTH HERTFORDSHIRE",155,3683.31,0,0
2021-07-01,36J,"NHS BRADFORD DISTRICT AND CRAVEN",156,3242.81,0,0
2021-07-01,99C,"NHS NORTH TYNESIDE",161,3138.04,0,0
2021-07-01,18C,"NHS HEREFORDSHIRE AND WORCESTERSHIRE",162,3615.55,0,0
2021-07-01,93C,"NHS NORTH CENTRAL LONDON",163,3425.32,0,0
2021-07-01,84H,"NHS COUNTY DURHAM",168,2884.14,0,0
2021-07-01,36L,"NHS SOUTH WEST LONDON",171,3916.62,0,0
2021-07-01,A3A8R,"NHS NORTH EAST LONDON",174,3466.63,0,0
2021-07-01,14L,"NHS MANCHESTER",179,3603.97,0,0
2021-07-01,97R,"NHS EAST SUSSEX",179,3710.38,0,0
2021-07-01,70F,"NHS WEST SUSSEX",182,4203.43,0,0
2021-07-01,11J,"NHS DORSET",190,3920.78,0,0
2021-07-01,M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES",190,3814.45,0,0
2021-07-01,15M,"NHS DERBY AND DERBYSHIRE",192,4165.86,0,0
2021-07-01,71E,"NHS LINCOLNSHIRE",192,3426.83,0,0
2021-07-01,92A,"NHS SURREY HEARTLANDS",196,4385.09,0,0
2021-07-01,03N,"NHS SHEFFIELD",204,3904.02,0,0
2021-07-01,15E,"NHS BIRMINGHAM AND SOLIHULL",204,3921.76,0,0
2021-07-01,13T,"NHS NEWCASTLE GATESHEAD",205,4002.27,0,0
2021-07-01,26A,"NHS NORFOLK AND WAVENEY",217,7298.37,0,0
2021-07-01,06H,"NHS CAMBRIDGESHIRE AND PETERBOROUGH",234,5394.13,0,0
2021-07-01,91Q,"NHS KENT AND MEDWAY",249,5018,0,0
2021-07-01,00L,"NHS NORTHUMBERLAND",255,4533.22,0,0
2021-07-01,52R,"NHS NOTTINGHAM AND NOTTINGHAMSHIRE",257,5216.3,0,0
2021-07-01,16C,"NHS TEES VALLEY",258,4687.42,0,0
