date,id,name,y_items,y_actual_cost,x_items,x_actual_cost
2021-07-01,09W,"NHS MEDWAY",0,0,0,0
2021-07-01,D4U1Y,"NHS FRIMLEY",4,101.65,0,0
2021-07-01,00R,"NHS BLACKPOOL",239,6576.8,0,0
2021-07-01,05D,"NHS EAST STAFFORDSHIRE",243,6880.56,0,0
2021-07-01,02Q,"NHS BASSETLAW",250,6063.49,0,0
2021-07-01,03H,"NHS NORTH EAST LINCOLNSHIRE",255,6473.93,0,0
2021-07-01,02M,"NHS FYLDE AND WYRE",306,8372.56,0,0
2021-07-01,07G,"NHS THURROCK",308,9295.78,0,0
2021-07-01,00Q,"NHS BLACKBURN WITH DARWEN",312,8678.4,0,0
2021-07-01,01F,"NHS HALTON",317,9008.26,0,0
2021-07-01,00N,"NHS SOUTH TYNESIDE",329,10084.64,0,0
2021-07-01,02T,"NHS CALDERDALE",356,12432.7,0,0
2021-07-01,01J,"NHS KNOWSLEY",371,9907.26,0,0
2021-07-01,04C,"NHS LEICESTER CITY",377,9556.41,0,0
2021-07-01,01E,"NHS GREATER PRESTON",386,12219.67,0,0
2021-07-01,03K,"NHS NORTH LINCOLNSHIRE",432,11126.21,0,0
2021-07-01,03Q,"NHS VALE OF YORK",432,13590.14,0,0
2021-07-01,00X,"NHS CHORLEY AND SOUTH RIBBLE",433,13146.21,0,0
2021-07-01,01V,"NHS SOUTHPORT AND FORMBY",434,12808.86,0,0
2021-07-01,03W,"NHS EAST LEICESTERSHIRE AND RUTLAND",439,12339.43,0,0
2021-07-01,02P,"NHS BARNSLEY",446,12684.85,0,0
2021-07-01,99F,"NHS CASTLE POINT AND ROCHFORD",486,16770.65,0,0
2021-07-01,10R,"NHS PORTSMOUTH",490,16262.42,0,0
2021-07-01,05V,"NHS STAFFORD AND SURROUNDS",491,14444.57,0,0
2021-07-01,U2G6B,"NHS THAMES VALLEY ICB - U2G6B",497,16787.87,0,0
2021-07-01,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE",507,14968.74,0,0
2021-07-01,99C,"NHS NORTH TYNESIDE",526,18806.8,0,0
2021-07-01,03F,"NHS HULL",535,13789.48,0,0
2021-07-01,00V,"NHS BURY",547,16407.13,0,0
2021-07-01,03R,"NHS WAKEFIELD",561,16391.63,0,0
2021-07-01,04Y,"NHS CANNOCK CHASE",581,18001.01,0,0
2021-07-01,01K,"NHS MORECAMBE BAY",587,16295.64,0,0
2021-07-01,M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN",629,22534.27,0,0
2021-07-01,05G,"NHS NORTH STAFFORDSHIRE",631,18519.81,0,0
2021-07-01,99G,"NHS SOUTHEND",637,21265.25,0,0
